,Name
1,Atia Abawi
2,Joan Abelove
3,Hailey Abbott
4,Faridah Àbíké-Íyímídé
5,Marguerite Abouet
6,Elizabeth Acevedo
7,Richard Adams
8,Tomi Adeyemi
9,Alexandra Adornetto
10,Renée Ahdieh
11,Melissa Albert
12,Becky Albertalli
13,Louisa May Alcott
14,Lloyd Alexander
15,Sherman Alexie
16,S.K. Ali
17,Isabel Allende
18,David Almond
19,Elaine M. Alphin
20,Adi Alsaid
21,Julia Alvarez
22,Laurie Halse Anderson
23,M. T. Anderson
24,Jesse Andrews
25,V. C. Andrews
26,Josephine Angelini
27,Anthony 
28,Kim Antieau
29,Allen Appel
30,Jules Archer
31,Jennifer Armentrout
32,Kelley Armstrong
33,Jay Asher
34,Amelia Atwater-Rhodes
35,Victoria Aveyard
36,Edward Irving Wortis
37,Nafiza Azad
38,Natalie Babbitt
39,Helen Bailey
40,Catherine Banner
41,Leigh Bardugo
42,Jennifer Lynn Barnes
43,T. A. Barron
44,John Barrowman
45,Karen Bass 
46,Cat Bauer
47,Joan Bauer 
48,Michael Gerard Bauer
49,L. Frank Baum
50,John and Patricia Beatty
51,Margaret Bechard
52,David Belbin
53,Clare Bell
54,Robin Benway
55,Steve Berman
56,Julie Berry 
57,Chetan Bhagat
58,Tanaz Bhathena
59,Lisa Jenn Bigelow
60,Franny Billingsley
61,Holly Black
62,Malorie Blackman
63,Francesca Lia Block
64,Judy Blume
65,Gwenda Bond
66,Frank Bonham
67,Angeline Boulley
68,Natasha Bowen
69,Tim Bowler
70,Akemi Dawn Bowman
71,Alexandra Bracken
72,Ann Brashares
73,Elizabeth J. Braswell
74,Libba Bray
75,Heather Brewer
76,Kate Brian
77,Rae Bridgman
78,Lauren Brooke
79,Kevin Brooks 
80,Vera Brosgol
81,Roseanne A. Brown
82,N. M. Browne
83,Alyssa Brugman
84,Annie Bryant
85,Elizabeth C. Bunce
86,Eve Bunting
87,Melvin Burgess
88,Frances Hodgson Burnett
89,Niki Burnham
90,Candace Bushnell
91,Julie Buxbaum
92,Meg Cabot
93,Rachel Caine
94,Deb Caletti
95,Kacen Callender
96,W. Bruce Cameron
97,Orson Scott Card
98,Patrick Carman
99,Isobelle Carmody
100,Ally Carter
101,Russell Gordon Carter
102,Kristin Cashore
103,Kiera Cass
104,Cathy Cassidy
105,Kristin Cast
106,Cecil Castellucci
107,Brian Caswell
108,Betty Cavanna
109,Michael Chabon
110,Soman Chainani
111,Aidan Chambers
112,Stephen Chbosky
113,Traci Chee
114,Alice Childress
115,Cinda Williams Chima
116,Mary H.K. Choi
117,Roshani Chokshi
118,Samuel Youd
119,Lucy Christopher
120,Sandra Cisneros
121,Cassandra Clare
122,Terri Clark
123,Dhonielle Clayton
124,Rosemary Clement-Moore
125,Ernest Cline
126,Rachel Cohn
127,Brock Cole
128,Chris Colfer
129,Sneed B. Collard III
130,Christopher Collier 
131,Suzanne Collins
132,Ying Chang Compestine
133,Ally Condie
134,Ellen Conford
135,Pam Conrad
136,Caroline B. Cooney
137,Susan Cooper
138,Robert Cormier
139,Bruce Coville
140,John Coy
141,Sharon Creech
142,Linda Crew
143,Cath Crowley
144,Chris Crutcher
145,Mike Curato
146,Jane Louise Curry
147,Christopher Paul Curtis
148,Karen Cushman
149,Leah Cypess
150,Anita Daher
151,Roald Dahl
152,Maria Dahvana Headley
153,Linden Dalecki
154,Maureen Daly
155,Emily Danforth
156,Paula Danziger
157,James Dashner
158,Terry Davis 
159,Pieretta Dawn
160,Pamela Dean
161,Zoey Dean
162,Melissa de la Cruz
163,Tracy Deonn
164,Sarah Dessen
165,Carl Deuker
166,Graham Diamond
167,Peter Dickinson
168,Berlie Doherty
169,Tom Dolby
170,Jennifer Donnelly
171,Siobhan Dowd
172,Ann Downer
173,Jenny Downham
174,Sharon Draper
175,Diane Duane
176,Tessa Duder
177,Rosamond du Jardin
178,Lois Duncan
179,Jeanne DuPrau
180,Jennifer Echols
181,Sara Bergmark Elfgren
182,Simone Elkeles
183,Anne Emery 
184,Akwaeke Emezi
185,Sylvia Engdahl
186,Nancy Yi Fan
187,Hafsah Faizal
188,Sara Farizan
189,Nancy Farmer 
190,Tim Federle
191,Catherine Fisher
192,Becca Fitzpatrick
193,Jasper Fforde
194,Sharon G. Flake
195,Paul Fleischman
196,Alex Flinn
197,Timothée de Fombelle
198,Dennis Foon
199,Lani Forbes
200,Antonia Forest
201,Gayle Forman
202,Paula Fox
203,Anne Frank
204,E.R. Frank
205,Mariah Fredericks
206,Benedict Freedman
207,Russell Freedman
208,Barbara C. Freeman
209,Mark Frost
210,Cornelia Funke
211,Jostein Gaarder
212,Claudia Gabel
213,Neil Gaiman
214,Eric Gansworth
215,Jack Gantos
216,Stephanie Garber
217,Kami Garcia
218,Nancy Garden
219,Sally Gardner
220,Alan Garner
221,Jean Craighead George
222,Adèle Geras
223,Gail Giles
224,M-E Girard
225,Morris Gleitzman
226,Anna Godbersen
227,Parke Godwin
228,Glenda Goertzen
229,William Golding
230,Chloe Gong
231,Michael Grant 
232,Claudia Gray
233,John Green
234,Bette Greene
235,Robert Joseph Greene
236,John Grisham
237,Robin Jones Gunn
238,Rosa Guy
239,Robin Ha
240,PJ Haarsma
241,Margaret Peterson Haddix
242,Mark Haddon
243,Shannon Hale
244,Alex Hall 
245,Barbara Hall 
246,Laurell K. Hamilton
247,Jenny Han
248,Victoria Hanley
249,Lisi Harrison
250,Alix E. Harrow
251,Brent Hartinger
252,Rachel Hartman
253,Sonya Hartnett
254,James Haskins
255,Pete Hautman
256,Louise Hawes
257,Rachel Hawkins 
258,Lian Hearn
259,Robert A. Heinlein
260,Claire Hennessy
261,Nat Hentoff
262,Karen Hesse
263,Carl Hiaasen
264,Brenda Hiatt
265,Charlie Higson
266,S.E. Hinton
267,Will Hobbs
268,Amanda Hocking
269,Alice Hoffman
270,Nina Kiriki Hoffman
271,Linda Holeman
272,Jennifer Holm
273,Stevin Hoover
274,Cathy Hopkins
275,Ellen Hopkins
276,Anthony Horowitz
277,Erin Hunter
278,Mollie Hunter
279,Zora Neale Hurston
280,Jordan Ifueko
281,Wendy Isdell
282,Holly Jackson
283,Tiffany D. Jackson
284,Brian Jacques
285,Adiba Jaigirdar
286,A. M. Jenkins
287,Alaya Dawn Johnson
288,Angela Johnson 
289,Catherine Johnson 
290,George Matthew Johnson
291,Leah Johnson 
292,Maureen Johnson
293,E. K. Johnston
294,Carrie Jones 
295,Diana Wynne Jones
296,Graham Joyce
297,Stacey Kade
298,Julie Kagawa
